Date,state
5/7/2019,New South Wales
5/7/2019,Victoria
5/7/2019,Victoria
5/7/2019,Victoria
5/7/2019,Australian Capital Territory
5/7/2019,Victoria
5/7/2019,Victoria
5/7/2019,Victoria
5/8/2019,New South Wales
5/9/2019,New South Wales
5/9/2019,New South Wales
5/9/2019,New South Wales
5/10/2019,New South Wales
5/10/2019,New South Wales
5/10/2019,New South Wales
5/10/2019,New South Wales
5/10/2019,Queensland
5/10/2019,New South Wales
5/10/2019,Victoria
5/10/2019,Victoria
5/10/2019,Victoria
5/10/2019,New South Wales
5/13/2019,Victoria
5/13/2019,Queensland
5/13/2019,New South Wales
5/13/2019,New South Wales
5/13/2019,New South Wales
5/13/2019,New South Wales
5/13/2019,Victoria
5/14/2019,New South Wales
5/14/2019,Queensland
5/14/2019,Victoria
5/15/2019,New South Wales
5/15/2019,New South Wales
5/15/2019,New South Wales
5/15/2019,Victoria
5/15/2019,Victoria
5/15/2019,New South Wales
5/15/2019,New South Wales
5/16/2019,Victoria
5/16/2019,New South Wales
5/16/2019,New South Wales
5/17/2019,Australian Capital Territory
5/17/2019,Australian Capital Territory
5/17/2019,New South Wales
5/19/2019,New South Wales
5/20/2019,New South Wales
5/20/2019,Victoria
5/20/2019,New South Wales
5/20/2019,Queensland
5/20/2019,Queensland
5/21/2019,Victoria
5/21/2019,New South Wales
5/21/2019,Victoria
5/21/2019,Victoria
5/22/2019,New South Wales
5/22/2019,New South Wales
5/22/2019,New South Wales
5/23/2019,New South Wales
5/23/2019,South Australia
5/23/2019,New South Wales
5/23/2019,New South Wales
5/24/2019,South Australia
5/24/2019,New South Wales
5/24/2019,New South Wales
5/24/2019,Western Australia
5/24/2019,New South Wales
5/24/2019,New South Wales
5/27/2019,New South Wales
5/27/2019,New South Wales
5/27/2019,Victoria
5/27/2019,New South Wales
5/27/2019,Victoria
5/27/2019,New South Wales
5/28/2019,Victoria
5/28/2019,Victoria
5/28/2019,New South Wales
5/28/2019,New South Wales
5/29/2019,New South Wales
5/30/2019,New South Wales
5/30/2019,Australian Capital Territory
5/30/2019,Australian Capital Territory
5/30/2019,New South Wales
5/30/2019,Victoria
5/30/2019,New South Wales
5/30/2019,Australian Capital Territory
5/30/2019,Victoria
5/30/2019,New South Wales
5/30/2019,New South Wales
5/30/2019,Victoria
5/30/2019,Australian Capital Territory
5/30/2019,Australian Capital Territory
5/30/2019,New South Wales
5/30/2019,Victoria
5/30/2019,Australian Capital Territory
5/30/2019,Victoria
5/30/2019,New South Wales
5/30/2019,Australian Capital Territory
5/30/2019,New South Wales
5/30/2019,Australian Capital Territory
5/30/2019,Australian Capital Territory
5/30/2019,New South Wales
5/30/2019,Victoria
5/30/2019,Queensland
5/30/2019,Queensland
5/30/2019,New South Wales
5/30/2019,New South Wales
5/30/2019,New South Wales
5/30/2019,Victoria
5/30/2019,Australian Capital Territory
5/31/2019,New South Wales
5/31/2019,Queensland
5/31/2019,New South Wales
5/31/2019,Australian Capital Territory
5/31/2019,Australian Capital Territory
5/31/2019,Australian Capital Territory
5/31/2019,New South Wales
5/31/2019,Victoria
5/31/2019,Victoria
5/31/2019,New South Wales
5/31/2019,New South Wales
5/31/2019,New South Wales
5/31/2019,New South Wales
5/31/2019,New South Wales
5/31/2019,Victoria
5/31/2019,South Australia
6/1/2019,New South Wales
6/1/2019,Victoria
6/1/2019,New South Wales
6/2/2019,New South Wales
6/2/2019,New South Wales
6/2/2019,Western Australia
6/3/2019,New South Wales
6/3/2019,New South Wales
6/3/2019,Queensland
6/3/2019,Australian Capital Territory
6/3/2019,New South Wales
6/4/2019,Queensland
6/4/2019,Western Australia
6/4/2019,Victoria
6/4/2019,New South Wales
6/4/2019,Australian Capital Territory
6/4/2019,New South Wales
6/5/2019,Victoria
6/5/2019,New South Wales
6/5/2019,New South Wales
6/5/2019,New South Wales
6/5/2019,Victoria
6/5/2019,Australian Capital Territory
6/5/2019,Victoria
6/5/2019,Victoria
6/5/2019,New South Wales
6/5/2019,New South Wales
6/5/2019,Victoria
6/6/2019,Queensland
6/6/2019,New South Wales
6/6/2019,Victoria
6/6/2019,Victoria
6/6/2019,Queensland
6/6/2019,Victoria
6/6/2019,Victoria
6/6/2019,New South Wales
6/7/2019,Victoria
6/7/2019,New South Wales
6/7/2019,Queensland
6/7/2019,Queensland
6/7/2019,New South Wales
6/7/2019,New South Wales
6/7/2019,New South Wales
6/7/2019,Victoria
6/7/2019,Victoria
6/7/2019,Queensland
6/10/2019,Victoria
6/10/2019,South Australia
6/10/2019,Queensland
6/10/2019,New South Wales
6/11/2019,New South Wales
6/11/2019,New South Wales
6/11/2019,New South Wales
6/11/2019,South Australia
6/11/2019,Queensland
6/11/2019,South Australia
6/11/2019,Victoria
6/11/2019,Victoria
6/11/2019,Western Australia
6/11/2019,New South Wales
6/11/2019,Victoria
6/11/2019,Victoria
6/11/2019,Victoria
6/11/2019,South Australia
6/12/2019,New South Wales
6/12/2019,Queensland
6/12/2019,Victoria
6/12/2019,New South Wales
6/12/2019,New South Wales
6/13/2019,Queensland
6/13/2019,New South Wales
6/13/2019,New South Wales
6/13/2019,New South Wales
6/14/2019,Victoria
6/14/2019,Victoria
6/14/2019,Victoria
6/14/2019,New South Wales
6/14/2019,New South Wales
6/14/2019,New South Wales
6/14/2019,New South Wales
6/14/2019,Victoria
6/14/2019,New South Wales
6/17/2019,New South Wales
6/17/2019,New South Wales
6/17/2019,New South Wales
