jobSubClassification,Jobs,Year
Database Development & Administration,1,2019
Consultants,1,2019
Consultants,1,2019
Consultants,1,2019
Other,1,2019
Other,1,2019
Business/Systems Analysts,1,2019
Database Development & Administration,1,2019
Other,1,2019
Consultants,1,2019
Engineering - Software,1,2019
Consultants,1,2019
Other,1,2019
Consultants,1,2019
Other,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Developers/Programmers,1,2019
Business/Systems Analysts,1,2019
Other,1,2019
Database Development & Administration,1,2019
Consultants,1,2019
Developers/Programmers,1,2019
Engineering - Software,1,2019
Business/Systems Analysts,1,2019
Other,1,2019
Database Development & Administration,1,2019
Developers/Programmers,1,2019
Consultants,1,2019
Consultants,1,2019
Consultants,1,2019
Consultants,1,2019
Other,1,2019
Other,1,2020
Other,1,2020
Database Development & Administration,1,2020
Other,1,2020
Other,1,2020
Developers/Programmers,1,2020
Other,1,2020
Engineering - Software,1,2020
Business/Systems Analysts,1,2020
Developers/Programmers,1,2020
Developers/Programmers,1,2020
Developers/Programmers,1,2020
Business/Systems Analysts,1,2020
Engineering - Software,1,2020
Other,1,2020
Developers/Programmers,1,2020
Developers/Programmers,1,2020
Developers/Programmers,1,2020
Engineering - Software,1,2020
Other,1,2020
Developers/Programmers,1,2020
Other,1,2020
Other,1,2020
Business/Systems Analysts,1,2020
Engineering - Software,1,2020
Business/Systems Analysts,1,2020
Other,1,2020
Consultants,1,2020
Engineering - Software,1,2020
Other,1,2020
Consultants,1,2020
Consultants,1,2020
Developers/Programmers,1,2020
Developers/Programmers,1,2020
Telecommunications,1,2020
Developers/Programmers,1,2020
Other,1,2020
Database Development & Administration,1,2020
Other,1,2020
Other,1,2020
Other,1,2020
Other,1,2020
Other,1,2020
Consultants,1,2020
Business/Systems Analysts,1,2020
Business/Systems Analysts,1,2020
Business/Systems Analysts,1,2020
Database Development & Administration,1,2020
Engineering - Software,1,2020
Consultants,1,2020
Engineering - Software,1,2020
Other,1,2020
Consultants,1,2020
Engineering - Software,1,2020
Engineering - Software,1,2020
Other,1,2020
Other,1,2020
Other,1,2020
Other,1,2020
Consultants,1,2020
